# Every word the player reads, one row per line of text.
#
#   key    what the code and the .wa files name. Never change one without changing its callers.
#   where  where it shows, for whoever translates it.
#   fr     the French text. Each further column is a language, named in the header row below.
#
# Read by jks.index.Index_Text. Tab-separated: a tab ends a cell, so a cell cannot hold one.
# In a cell, \n is a line break. {WAVE}...{ENDWAVE}, {COLOR=...} and the like are TextraTypist
# markup - keep them around the translated word. A line starting with # is a comment.
# A text missing in a language falls back to fr; a key missing altogether shows the key itself.
#
# Accents: a row marked [title face] is drawn in OptimusPrinceps, which has no é è à â ç and
# no usable É (doubt d8) - write those without accents, in every language. TextTableTest checks.
# Everything else is GeosansLight and takes accents.

key	where	fr

# == Start menu ============================================================
menu.play	Start menu, button [title face: no accents, d8]	Jouer
menu.options	Start menu, button [title face: no accents, d8]	Options
menu.credits	Start menu, button - unaccented on purpose [title face: no accents, d8]	Credits
menu.quit	Start menu, button [title face: no accents, d8]	Quitter

# == Options ===============================================================
options.graphics	Options, block title [title face: no accents, d8]	Graphismes
options.resolution	Options > Graphismes, row	Résolution
options.fps	Options > Graphismes, row	Images par seconde
options.vsync	Options > Graphismes, checkbox	Synchro verticale
options.fullscreen	Options > Graphismes, checkbox	Plein écran
options.mipmaps	Options > Graphismes, checkbox	Mipmaps (plus lisse en petit)
options.apply	Options > Graphismes, button	Appliquer
options.sound	Options, block title [title face: no accents, d8]	Son
options.mute	Options > Son and the pause screen, checkbox	Couper le son
options.volume	Options > Son, slider	Volume
options.effects	Options > Son, slider	Effets

# == Credits ===============================================================
# The names of the people are not translated and stay in Index_Credits.
credits.title	Credits screen, heading - unaccented on purpose [title face: no accents, d8]	Credits
credits.programming	Credits, role [title face: no accents, d8]	Programmation
credits.art	Credits, role [title face: no accents, d8]	Art visuel
credits.made_with	Credits, last line	Réalisé avec libGDX

# == Carriage 1 ============================================================
# Ross thinks these in the bubble while the mouse is on a piece of the key.
wa1.hint1	Carriage 1, thought bubble on key piece 1	Je vais enfin partir d'ici! Mais ou est mon bagage ? 
wa1.hint2	Carriage 1, thought bubble on key piece 2	Nom de non, qui à laissé trainer tous ces cubes ?
wa1.hint3	Carriage 1, thought bubble on key piece 3	Ce pauvre petit oiseau.\n Il a l'air affamé dans sa cage dorée. Si seulement je pouvais faire quelque chose pour lui.
wa1.cage.message1	Carriage 1, cage used with sac (choice 1), bubble by Ross for a few seconds	Voila qui devrait remplir son estomac ! \nMais s’il était {WAVE}libre{ENDWAVE} tout ce serait plus simple... \nnon ?
wa1.cage.message2	Carriage 1, cage used with clefCage (choice 2), bubble by Ross for a few seconds	Je pourrais le rendre libre comme l’air ! Mais je ne suis pas sûr qu’il trouvera de la {WAVE}nourriture{ENDWAVE} avant de tomber dans les pommes...
# Ross says these when the item is clicked (r74) - edit them in the line lab:
#   ./gradlew :desktop:runGame -Donboard.start=line_lab
wa1.cubeM.click	Carriage 1, cubeM.png clicked, bubble by Ross for a few seconds	Il manque un cube ici. Le creux a juste la bonne forme.
wa1.cage.click	Carriage 1, cage.png clicked, bubble by Ross for a few seconds	Un petit oiseau tout bleu. Il me regarde comme s'il avait faim.
wa1.clefCage.click	Carriage 1, clefCage.png clicked, bubble by Ross for a few seconds	Une toute petite clé. Elle n'ouvre sûrement pas une porte...
wa1.sac.click	Carriage 1, sac.png clicked, bubble by Ross for a few seconds	Des graines ! Pas pour moi, mais quelqu'un en voudra peut-être.
wa1.cube.click	Carriage 1, cube.png clicked, bubble by Ross for a few seconds	Un cube avec un zéro dessus. Il doit bien aller quelque part.
wa1.baluchon.click	Carriage 1, baluchon.png clicked, bubble by Ross for a few seconds	Mon baluchon ! Tout ce que j'ai tient là-dedans.

# == Carriage 2 ============================================================
# Ross thinks these in the bubble while the mouse is on a piece of the key.
wa2.hint1	Carriage 2, thought bubble on key piece 1	Je me suis toujours demandé ce qu'ils avaient écrit dans ce foutu rapport
wa2.hint2	Carriage 2, thought bubble on key piece 2	Cette mauvaise habitude ma toujours fait cracher mes poumons, je devrais peut être m'en débarrasser
wa2.hint3	Carriage 2, thought bubble on key piece 3	Le paternel a presque l'air gentil sur ce tableau. \nLe beau mensonge... \nIl mériterait des retouches sur sa tronche !
